Status,Translator,Message,Translation
Valid,Gawindx,About,Über
To validate,Barungar,Activate automatic connection / reconnection,Aktiviert die automatische Verbindung / Neuverbindung
To validate,Barungar,Additional grace period limit. Accepted value: Numeric value from 0 to 3600.,Zusätzliche Gnadenfrist. Akzeptierter Wert: Numerischer Wert von 0 bis 3600.
To validate,Barungar,Alert,Alarm
Valid,Gawindx,Allow additional time during the shutdown procedure.Note:This additional time could go beyond the UPS backup time - USE WITH CAUTION!!!,Warten Sie während des Herunterfahrens zusätzliche Zeit.Hinweis:Diese zusätzliche Zeit kann über die USV-Sicherungszeit hinausgehen - MIT VORSICHT VERWENDEN !!!
Valid,Gawindx,Allow Extended Shutdown Time,Erweiterte Abschaltzeit zulassen
Valid,Gawindx,Application shut down at,Anwendung heruntergefahren um
Valid,Gawindx,Apply,Anwenden
Valid,Gawindx,Automatic Reconnection,Automatische Neuverbindung
Valid,Gawindx,Battery Charge,Batterieladung
Valid,Gawindx,Battery OK,Batterie OK
Valid,Gawindx,Battery Voltage,Batteriespannung
Valid,Gawindx,Battery_Charge : {0} Remaining Time : {1},Batterieladung: {0} Verbleibende Zeit: {1}
Valid,Gawindx,Battery_Charge : {WinNUT.UPS_BattCh} Remaining Time : {WinNUT.Lbl_VRTime.Text},Batterieladung: {WinNUT.UPS_BattCh} Verbleibende Zeit: {WinNUT.Lbl_VRTime.Text}
Valid,Gawindx,Calibration,Kalibrierung
To validate,Barungar,Cancel,Abbrechen
To validate,Barungar,Cancellation of the Extinguishing Process,Abbruch des Beendungsprozesses
Valid,Gawindx,Check for updates.,Auf Updates prüfen.
To validate,Barungar,Checks for updates at startup.,Beim Start auf Updates prüfen.
To validate,Barungar,Clear,Leeren
Valid,Gawindx,Close,Schließen
To validate,Barungar,Close to Systray,Schließen in den Benachrichtigungsbereich
To validate,Barungar,Conditions met for launching the Extinguishing Process,Voraussetzungen für den Start des Beendungsprozesses erfüllt
Valid,Gawindx,Connected,Verbunden
Valid,Gawindx,Connection,Verbindung
To validate,Barungar,Connection to Nut Host {0}:{1} Established,Verbindung zum NUT-Host {0}:{1} hergestellt
To validate,Barungar,Connection to Nut Host {0}:{1} Failed: {2},Verbindung zum NUT-Host {0}:{1} fehlgeschlagen: {2}
Valid,Gawindx,Copy,Kopieren
To validate,Barungar,Create a log file (WinNUT-client.log file in the WinNUT installation directory).,Erstellt eine Protokolldatei (Datei WinNUT-client.log im WinNUT-Installationsverzeichnis).
To validate,Barungar,Create LogFile,Protokolldatei erstellen
To validate,Barungar,Daily,täglich
Valid,Gawindx,Debug,Debuggen
Valid,Gawindx,Delay Between Verification,Verzögerung zwischen der Überprüfung
To validate,Barungar,Delay to Shutdown (sec),Verzögerung bis zum Herunterfahren (Sek.)
Valid,Gawindx,Delete log file.,Protokolldatei löschen.
To validate,Barungar,Description :,Beschreibung:
Valid,Gawindx,Devellopement,Entwicklung
Valid,Gawindx,Disconnect,Trennen
Valid,Gawindx,Disconnected from Nut Host,Vom NUT-Host getrennt
To validate,Barungar,Download New Version from :,Neue Version herunterladen von:
To validate,Barungar,Error,Fehler
To validate,Barungar,Exit,Beenden
To validate,Barungar,Extinction In Progress,Beenden ist im Gang
Valid,Gawindx,File,Datei
Valid,Gawindx,Firmware :,Firmware:
To validate,Barungar,Frequency,Eingangsfrequenz
Valid,Gawindx,Frequency of verification.,Häufigkeit der Überprüfung.
