Status,Translator,Message,Translation
To validate,BuhoSolitario,About,Acerca de
To validate,BuhoSolitario,Activate automatic connection / reconnection,Activar re/conexión automática 
To validate,BuhoSolitario,Additional grace period limit.Accepted value: Numeric value from 0 to 3600.,Limite del periodo de gracia adicional. Valor aceptado: Numero entre 0 y 3600.
To validate,BuhoSolitario,Alert,Alerta
To validate,BuhoSolitario,Allow additional time during the shutdown procedure.Note: This additional time could go beyond the UPS backup time - USE WITH CAUTION!!!,Permitir tiempo adicional durante el proceso de apagado. Nota: Este tiempo adicional podría ir por debajo del tiempo de descarga del SAI - ¡¡¡ÚSALO CON PRECAUCIÓN!!!
To validate,BuhoSolitario,Allow Extended Shutdown Time,Permitir tiendo añadido de apagado
To validate,BuhoSolitario,Application shut down at,Apagar aplicación a las:
To validate,BuhoSolitario,Apply,Aplicar
To validate,BuhoSolitario,Automatic Reconnection,Reconexión automática
To validate,BuhoSolitario,Battery Charge,Carga de la batería
To validate,BuhoSolitario,Battery OK,Batería correcta
To validate,BuhoSolitario,Battery Voltage,Voltaje de la batería
To validate,BuhoSolitario,Battery_Charge : {0} Remaining Time : {1},Carga de la batería : {0} Tiempo restante : {1} 
To validate,BuhoSolitario,Battery_Charge : {WinNUT.UPS_BattCh} Remaining Time : {WinNUT.Lbl_VRTime.Text},Carga de la batería : {WinNUT.UPS_BattCh} Tiempo restante : {WinNUT.Lbl_VRTime.Text}
To validate,BuhoSolitario,Calibration,Calibración
To validate,BuhoSolitario,Cancel,Cancelar
To validate,BuhoSolitario,Cancellation of the Extinguishing Process,Cancelación del proceso de apagado
To validate,BuhoSolitario,Check for updates.,Comprobar actualizaciones
To validate,BuhoSolitario,Checks for updates at startup.,Comprobar actualizaciones al iniciar
To validate,BuhoSolitario,Clear,Limpiar
To validate,BuhoSolitario,Close,Cerrar
To validate,BuhoSolitario,Close to Systray,Cerrar a la bandeja del sistema
To validate,BuhoSolitario,Conditions met for launching the Extinguishing Process,Condiciones cumplidas para iniciar el proceso de apagado.
To validate,BuhoSolitario,Connected,Conectado
To validate,BuhoSolitario,Connection,Conexión
To validate,BuhoSolitario,Connection to Nut Host {0}:{1} Established,Conectando al cliente Nut {0}:{1} Establecido
To validate,BuhoSolitario,Connection to Nut Host {0}:{1} Failed: {2},Conectando al cliente Nut {0}:{1} Fallo: {2}
To validate,BuhoSolitario,Copy,Copiar
To validate,BuhoSolitario,Create a log file (WinNUT-client.log file in the WinNUT installation directory).,Crear un archivo de registro (WinNUT-client.log en el directorio de instalación de WinNUT).
To validate,BuhoSolitario,Create LogFile,Crear archivo de registro
To validate,BuhoSolitario,Daily,Diariamente
To validate,BuhoSolitario,Debug,Depurar
To validate,BuhoSolitario,Delay Between Verification,Intevalo de renovación
To validate,BuhoSolitario,Delay to Shutdown (sec),Tiempo para iniciar apagado (seg)
To validate,BuhoSolitario,Delete log file.,Eliminar archivo de registro
To validate,BuhoSolitario,Description :,Descripción :
To validate,BuhoSolitario,Devellopement,Desarrollo
To validate,BuhoSolitario,Disconnect,Desconectar
To validate,BuhoSolitario,Disconnected from Nut Host,Desconectado del cliente de Nut
To validate,BuhoSolitario,Download New Version from :,Descargar Nueva Versión desde :
To validate,BuhoSolitario,Error,Error
To validate,BuhoSolitario,Exit,Salir
To validate,BuhoSolitario,Extinction In Progress,Apagado en proceso
To validate,BuhoSolitario,File,Archivo
To validate,BuhoSolitario,Firmware :,Firmware :
To validate,BuhoSolitario,Frequency,Frecuencia
To validate,BuhoSolitario,Frequency of verification.,Frecuencia de verificación
To validate,BuhoSolitario,Frequency Supply,Proveedor de frecuencia
To validate,BuhoSolitario,Grace Delay to Shutdown (sec),Periodo de gracia para apagado
To validate,BuhoSolitario,Grace Time,Periodo de gracia
To validate,BuhoSolitario,Help,Ayuda
To validate,BuhoSolitario,Hibernate,Hibernar
To validate,BuhoSolitario,Hide ChangeLog,Ocultar registro de cambios
To validate,BuhoSolitario,Immediate Shutdown,Apagado inmediato
To validate,BuhoSolitario,Immediate stop action,Parar acción automáticamente
To validate,BuhoSolitario,Import Ini File (v1.x),Importar archivo (v1.x)
To validate,BuhoSolitario,Indicates whether a shutdown should be performed when the NUT server signals a forced shutdown (FSD = Force ShutDown),Indica si un apagado debería realizarse cuando el servidor NUT envía una señal de apagado forzado (FSD = Apagado forzado)
To validate,BuhoSolitario,Input Frequency,Frecuencia de entrada
To validate,BuhoSolitario,Input Voltage,Voltaje de entrada
To validate,BuhoSolitario,Item Properties,Propiedades del objeto
To validate,BuhoSolitario,List UPS Variables,Ver variables SAI
To validate,BuhoSolitario,Log file log level,Nivel de registro del fichero
To validate,BuhoSolitario,Logging level,Nivel de registro
To validate,BuhoSolitario,Logging level.,Nivel de registro.
To validate,BuhoSolitario,Login,Inicio de sesión
To validate,BuhoSolitario,Login credentials to the Nut server (leave blank if not required),Credenciales de inicio de sesión al servidor Nut (dejar en blanco si no son necesarias)
To validate,BuhoSolitario,Lost Connect To {0}:{1},Conexión perdida a {0}:{1}
To validate,BuhoSolitario,Low Battery,Baja batería
To validate,BuhoSolitario,Lower backup time limit triggering the shutdown procedure. Accepted value: Numeric value from 0 to 3600.,Límite de tiempo restante de la batería para lanzar el procedimiento de apagado. Valor aceptado: Número entre 0 y 3600.
To validate,BuhoSolitario,Lower limit of the battery level triggering the shutdown procedure. Accepted value: Numeric value from 0 to 100.,Límite por lo bajo del nivel de batería para lanzar el procedimiento de apagado. Valor aceptado: Número entre 0 y 3600.
To validate,BuhoSolitario,Manufacturer :,Fabricante :
To validate,BuhoSolitario,Max,Max
To validate,BuhoSolitario,Max Retry reached. Wait for manual Reconnection,Alcanzado el número máximo de reintentos. Esperando a la reconexión manual
To validate,BuhoSolitario,Maximum Battery Voltage. Accepted value: Numeric value from 0 to 100.,Voltaje de batería máximo. Valor aceptado: Número entre 0 y 100.
To validate,BuhoSolitario,Maximum input frequency. Accepted value: Numeric value from 0 to 100.,Frecuencia de entrada máxima. Valor aceptado: Número entre 0 y 100.
To validate,BuhoSolitario,Maximum input voltage. Accepted value: Numeric value from 0 to 999.,Voltaje de entrada máximo. Valor aceptado: Número entre 0 y 999.
To validate,BuhoSolitario,Maximum Load Level of the UPS. Accepted value: Numeric value from 0 to 100.,Nivel de carga máximo del SAI. Valor aceptado: Número entre 0 y 100.
To validate,BuhoSolitario,Maximum Output Voltage. Accepted value: Numeric value from 0 to 999.,Voltaje de salida máximo. Valor aceptado: Número entre 0 y 999.
To validate,BuhoSolitario,Min,Min
To validate,BuhoSolitario,Minimize to Systray,Minimizar a la bandeja del sistema
To validate,BuhoSolitario,Minimum Battery Voltage. Accepted value: Numeric value from 0 to 100.,Voltaje de batería mínimo. Valor aceptado: Número entre 0 y 100.
To validate,BuhoSolitario,Minimum Charge Level of the UPS. Accepted value: Numeric value from 0 to 100.,Nivel de carga mínimo del SAI. Valor aceptado: Número entre 0 y 100.
To validate,BuhoSolitario,Minimum input frequency. Accepted value: Numeric value from 0 to 100.,Frecuencia de entrada mínima. Valor aceptado: Número entre 0 y 100.
To validate,BuhoSolitario,Minimum input voltage. Accepted value: Numeric value from 0 to 999.,Voltaje de entrada mínimo. Valor aceptado: Número entre 0 y 999.
To validate,BuhoSolitario,Minimum Output Voltage. Accepted value: Numeric value from 0 to 999.,Voltaje de salida mínimo. Valor aceptado: Número entre 0 y 999.
To validate,BuhoSolitario,Miscellanous,Miscelanea
To validate,BuhoSolitario,Monthly,Mensualmente
To validate,BuhoSolitario,Name :,Nombre :
To validate,BuhoSolitario,No Update Available,No hay actualizaciones
To validate,BuhoSolitario,Not Connected,No conectado
To validate,BuhoSolitario,Notice,Nota
To validate,BuhoSolitario,NUT host,Cliente NUT
To validate,BuhoSolitario,NUT Port,Puerto NUT
