Status,Translator,Message,Translate
Valid,TGi,About,關於
Valid,TGi,Activate automatic connection / reconnection,啟用自動連線/重新連線
Valid,TGi,Additional grace period limit. Accepted value: Numeric value from 0 to 3600.,額外的寬限期。範圍：0-3600。
Valid,TGi,Alert,警告
Valid,TGi,Allow additional time during the shutdown procedure. Note: This additional time could go beyond the UPS backup time - USE WITH CAUTION!!!,在關機過程中留出額外的時間。注意：這個額外的時間可能會超過 UPS 的備援時間 - 請謹慎使用！
Valid,TGi,Allow Extended Shutdown Time,允許的延長關機時間
Valid,TGi,Application shut down at,應用程式關閉於
Valid,TGi,Apply,套用
Valid,TGi,Automatic Reconnection,自動重新連線
Valid,TGi,Battery Charge,電池電量
Valid,TGi,Battery OK,電池正常
Valid,TGi,Battery_Charge : {0} Remaining Time : {1},電池電量：{0} 剩餘時間：{1}
Valid,TGi,Battery_Charge : {WinNUT.UPS_BattCh} Remaining Time : {WinNUT.Lbl_VRTime.Text},電池電量：{WinNUT.UPS_BattCh} 剩餘時間：{WinNUT.Lbl_VRTime.Text}
Valid,TGi,Battery Voltage,電池電壓
Valid,TGi,Calibration,校正
Valid,TGi,Cancel,取消
Valid,TGi,Cancellation of the Extinguishing Process,取消關機程序
Valid,TGi,Check for updates.,檢查應用程式更新。
Valid,TGi,Checks for updates at startup.,在啟動時檢查更新。
Valid,TGi,Clear,清除
Valid,TGi,Close,關閉
Valid,TGi,Close to Systray,關閉至工作列角落圖示
Valid,TGi,Conditions met for launching the Extinguishing Process,啟動關機程序的條件
Valid,TGi,Connected,已連線
Valid,TGi,Connection,連線
Valid,TGi,Connection to Nut Host {0}:{1} Established,連線到 NUT 主機 {0}:{1} 成功
Valid,TGi,Connection to Nut Host {0}:{1} Failed: {2},連線到 NUT 主機 {0}:{1} 失敗：{2}
Valid,TGi,Copy,複製
Valid,TGi,Create a log file (WinNUT-client.log file in the WinNUT installation directory).,建立日誌檔案 (WinNUT-client.log 檔案位於 WinNUT 的安裝目錄)。
Valid,TGi,Create LogFile,建立日誌檔案
Valid,TGi,Daily,每天
Valid,TGi,Debug,除錯
Valid,TGi,Delay Between Verification,每次檢驗延遲
Valid,TGi,Delay to Shutdown (sec),關機前延遲 (秒)
